Actual,Predicted_Prob
1.0,0.967537476103313
0.0,0.8383266079132442
1.0,0.6452023375707739
0.0,0.04603920594328606
1.0,0.7078530872667835
0.0,0.8518687800557131
1.0,0.5964383434861898
1.0,0.8865789514030815
1.0,0.5195870452040194
0.0,0.52230931039838
1.0,0.6926469351592871
1.0,0.682392281633639
1.0,0.9303312154946333
1.0,0.1704192513165499
1.0,0.9388256146568713
1.0,0.5276739781354342
0.0,0.4326002590181892
0.0,0.10440438028842136
1.0,0.5737398866255797
1.0,0.8864147979942513
0.0,0.5608075686588514
1.0,0.9527221662247205
0.0,0.6039902747772267
0.0,0.5971746371048621
0.0,0.8959303133748728
1.0,0.4578895631400067
0.0,0.5401859073169396
0.0,0.59792135740292
1.0,0.6105253833330854
1.0,0.38740301161494545
0.0,0.40351878987496814
1.0,0.32756028323799485
1.0,0.6090320092406147
1.0,0.7087716779695362
1.0,0.5117952337809824
1.0,0.9718480144584022
0.0,0.18159096569840089
0.0,0.07948510007066174
1.0,0.9223748175926085
0.0,0.4164501291454343
1.0,0.5643894709678722
1.0,0.9487138465391485
0.0,0.5765538436839078
0.0,0.8204937209527502
1.0,0.7409293869395646
1.0,0.8996657508990467
0.0,0.3348197674551487
1.0,0.614091097606262
1.0,0.8415947574430032
0.0,0.9473689577386101
1.0,0.1798427549517692
1.0,0.8460534337395145
1.0,0.7913722157985508
1.0,0.6812253462475701
1.0,0.7417166560450371
1.0,0.40731505100251436
0.0,0.06061587832979854
1.0,0.6171591591319928
0.0,0.67663981389526
1.0,0.8857511652043418
1.0,0.577937902226154
0.0,0.09204325337521801
0.0,0.11277530816675103
1.0,0.6291047491343918
0.0,0.5763749433373575
1.0,0.46573824083177534
0.0,0.1410671171973815
0.0,0.6863362588666828
1.0,0.8600244830676389
1.0,0.836529476553232
0.0,0.1012272387647485
1.0,0.5809307610998686
1.0,0.8089044717859974
0.0,0.13598681684306693
1.0,0.5308729033096433
0.0,0.7363147852542447
1.0,0.5494317941784378
1.0,0.7631469692528021
1.0,0.617586205499234
1.0,0.8334361881675244
1.0,0.7817176207690347
0.0,0.7987346434118752
1.0,0.9462573086027066
0.0,0.03977449540824932
1.0,0.5748416969639066
0.0,0.5650829905360325
1.0,0.8468040037683034
0.0,0.1665235168060309
0.0,0.039071976879065905
1.0,0.3040385964697746
0.0,0.5329084611281328
1.0,0.9396716123048925
0.0,0.1962694575557253
0.0,0.0492529545591982
0.0,0.27584560904891847
0.0,0.11173342694765596
1.0,0.09848511964478164
1.0,0.4923270096276599
0.0,0.10024677196819247
0.0,0.05136730048504609
1.0,0.8126783609971453
0.0,0.4483028000404775
1.0,0.5868871437762092
0.0,0.20383425656441098
1.0,0.7039402965345087
1.0,0.770215129107769
1.0,0.21178189277084888
1.0,0.8958611615573903
0.0,0.7968194897069477
1.0,0.25995778869755354
1.0,0.841037025023904
0.0,0.1392217884722699
0.0,0.5119024257366558
1.0,0.7756884909290667
1.0,0.5470679171405899
1.0,0.8177644037142413
0.0,0.0995970367865325
1.0,0.3844487783805791
1.0,0.6999442884125314
0.0,0.09986713405708117
0.0,0.3823527615639862
1.0,0.9170789349805235
0.0,0.12974289929876406
1.0,0.4975007679203968
1.0,0.9383550224396524
0.0,0.40435339714086266
1.0,0.7976654046772382
0.0,0.2672523164042444
1.0,0.6839735733873205
